"genes"	"hypoxia.01"	"hypoxia.02"	"hypoxia.03"	"hypoxia.04"	"normoxia.01"	"normoxia.02"	"normoxia.03"	"normoxia.04"	"hypoxia_avg"	"normoxia_avg"	"log2FC"	"pval"	"qval"	"pi"
"ACSBG1"	0.87	0.57	1.27	1.03	0.46	0.93	0.77	0.8	0.93	0.74	0.15	0.139295637969033	0.185141108106353	0.109874571189016
"ACSBG2"	0.4	0.11	0.15	0.3	0.83	0.25	0.32	0.17	0.24	0.39	-0.17	1	1	0
"ACSF2"	173.93	178.51	201.36	240.96	144.59	245.8	293.41	211.69	198.69	223.87	-0.17	0.519030450238296	0.567489589102489	-0.0418271572421446
"ACSF3"	20.77	25.02	24.3	21.17	18.17	22.67	28.22	27.37	22.81	24.11	-0.08	0.0918218261517659	0.134925006760847	-0.0695926041200832
"ACSL1"	189.64	165.1	175.67	188.97	120.55	91.25	94.51	115.81	179.84	105.53	0.76	9.26349324788637e-05	0.00198148379960886	2.05428720028458
"ACSL3"	81	93.83	103.98	99.97	90.48	74.78	65.02	58.76	94.7	72.26	0.39	0.0143836887784443	0.0408750514953233	0.541531258006911
"ACSL4"	31.13	25.92	32.46	29.24	29.09	25.26	29.36	29.96	29.69	28.42	0.06	0.0354268444405031	0.0694638310936083	0.0694944760801756
"ACSL5"	30.56	48.76	25.91	53.07	65.1	141.28	84.05	158.32	39.57	112.19	-1.48	0.00133031845576813	0.00913855837369703	-3.01790101836637
"ACSL6"	0.1	0.82	0.18	0.18	0.06	0.24	0.18	0.17	0.32	0.16	0.19	0.444757490255192	0.492524850309959	0.0584386519394947
"ACSM1"	1.55	2.38	1.3	1.51	0.57	1.34	1.65	0.89	1.69	1.11	0.35	0.0869030666317101	0.129185381907842	0.311075319295003
"ACSM2A"	0.15	0	0.11	0	0.02	0.04	0	0	0.07	0.02	0.07	1	1	0
"ACSM2B"	1.76	1.23	0.98	1.51	1.79	1.41	1.5	1.69	1.37	1.6	-0.13	0.183274195365503	0.23077023594479	-0.0827866267680963
"ACSM3"	4.71	4.93	3.67	3.23	6.43	6.21	7.43	11.12	4.14	7.8	-0.78	0.00416652275475467	0.0193848300048798	-1.33577964248215
"ACSM4"	0.02	0.08	0	0.04	0.02	0.07	0.1	0.05	0.03	0.06	-0.04	1	1	0
"ACSM5"	0.11	0.11	0	0.28	0.06	0.2	0	0	0.13	0.07	0.08	1	1	0
"ACSM6"	0.31	0.51	0.19	0.19	0.52	0.26	0.49	0.61	0.3	0.47	-0.18	0.124088519529216	0.16960047403468	-0.138703128879791
"ACSS1"	1.82	1.8	4.54	5.39	2.51	4.22	4.37	9.45	3.39	5.14	-0.48	0.0108164425857812	0.0347510876964264	-0.700335166848741
"ACSS2"	25.9	30.98	25.98	30.8	29.25	30.87	30.86	37.88	28.41	32.22	-0.18	0.0384287448310999	0.0731239351378669	-0.20446928014435
"ACSS3"	0.42	0.94	0.23	0.03	0.76	0.88	0.78	0.35	0.4	0.69	-0.27	0.0567302375265362	0.0946663350522094	-0.27642719771883
"ACTA1"	0.11	0.2	0.16	0.1	0.45	0.54	0.61	0.29	0.14	0.47	-0.36	1	1	0
"ACTA2"	35.72	27.37	28.65	24.17	16.87	7.93	12.64	4.45	28.98	10.47	1.39	0.000163608950600115	0.00265167442933616	3.58130692110442
"ACTB"	2974.13	2403.62	1894.99	2202.68	2418.76	1765.86	1978.84	1736.8	2368.85	1975.07	0.26	0.0155306686295301	0.0428538952955361	0.35568252091585
"ACTBL2"	0.77	0.4	0.41	0.08	3.14	0.67	0.6	0.39	0.41	1.2	-0.64	0.00378666350098255	0.0182022998392307	-1.11351919100787
"ACTC1"	0	0	0	0	0	0.03	0	0	0	0.01	-0.01	1	1	0
"ACTG1"	1985.31	1719.38	1253.09	1558.92	1914.4	1495.65	1454.11	1500.81	1629.18	1591.24	0.03	0.0674495807628294	0.107237292972306	0.0290896247278516
"ACTG2"	0.43	0.03	0.03	0	0.69	0.03	0.07	0.03	0.12	0.21	-0.11	1	1	0
"ACTL10"	1.21	1.08	0.74	1.59	2.6	4.4	5.14	6.07	1.16	4.55	-1.36	4.39888323273309e-05	0.00146317203246156	-3.85519826782657
"ACTL6A"	51.96	59.01	72.07	68.22	41.32	48.05	54.18	50.2	62.81	48.44	0.37	0.000716247610537802	0.00614827883629676	0.818161184514485
"ACTL6B"	0	0	0.03	0.03	0	0	0	0	0.02	0	0.02	1	1	0
"ACTL7A"	0	0	0	0.1	0	0	0	0	0.02	0	0.04	1	1	0
"ACTL7B"	0	0	0	0	0	0	0	0	0	0	0	1	1	0
"ACTL8"	0	0	0	0	0	0	0	0	0	0	0	1	1	0
"ACTL9"	0.09	0	0	0	0	0	0	0	0.02	0	0.03	1	1	0
"ACTMAP"	8.4	6.06	9.6	7.51	4.67	4.85	5.54	5.63	7.89	5.17	0.53	0.00784233932960527	0.0286837740169483	0.81745276508879
"ACTN1"	175.64	85.67	72.6	61.45	213.25	66.64	89.75	71.39	98.84	110.26	-0.16	1	1	0
"ACTN2"	0	0.01	0	0	0	0	0	0.04	0	0.01	-0.01	1	1	0
"ACTN3"	0.07	0	0.08	0.03	0.03	0	0	0	0.05	0.01	0.05	1	1	0
"ACTN4"	328.54	307.83	276.87	333.69	333.62	311.41	370.31	359.29	311.73	343.66	-0.14	0.0153094311031504	0.0424959872330461	-0.192031290797078
"ACTR10"	59.65	64.23	66.28	70.74	61.52	57.46	59.09	60.52	65.23	59.65	0.13	0.0189040123099958	0.0478311810106737	0.171637556445013
"ACTR1A"	88.3	84.53	75.41	85.06	91.92	76.11	69.12	68.12	83.32	76.32	0.13	0.0302135115669201	0.0631638847298902	0.15593905180017
"ACTR1B"	52.89	60.56	64.8	66.18	50.23	58.11	68.41	64.83	61.11	60.4	0.02	0.0142075178386503	0.0406333000109906	0.0278223581051013
"ACTR2"	246.79	257.77	249.86	255.49	259.84	258.32	242.2	239.2	252.48	249.89	0.01	0.011999430662712	0.0369245638287665	0.014326846260872
"ACTR3"	164.08	163.83	146.21	149.68	188.79	163.61	167.07	164.82	155.95	171.07	-0.13	0.0136092875597119	0.0397265250887631	-0.182119524778415
"ACTR3B"	16.79	11.84	12.25	5.94	26.57	9.58	10.05	7.61	11.71	13.45	-0.19	1	1	0
"ACTR3C"	4.33	3.95	3.23	3.82	6.21	7.34	5.41	8.34	3.83	6.82	-0.7	0.00539741061223888	0.0228060824209858	-1.14936451733172
"ACTR5"	2.9	3.05	6.46	4.85	2.94	4.35	5.25	4.79	4.31	4.33	-0.01	0.37253038391929	0.420054617182136	-0.00376694237224311
"ACTR6"	31.98	34.32	35.43	35.48	35.12	37.39	42.21	37.04	34.3	37.94	-0.14	0.0120693167810501	0.0370705511146172	-0.200335934039052
"ACTR8"	18.63	17.12	18.11	15.65	16.73	16.28	17.97	18.17	17.38	17.29	0.01	0.0351017474832625	0.0691004097481957	0.011605193773602
"ACTRT1"	0	0	0	0	0	0	0	0	0	0	0	1	1	0
"ACTRT2"	0	0	0	0	0	0	0	0	0	0	0	1	1	0
"ACTRT3"	1.59	1.06	0.59	0.86	3.13	2	1.64	1.95	1.03	2.18	-0.65	0.0012540896636328	0.00877529230057955	-1.33687996551858
"ACVR1"	14.73	13.23	16.72	13.55	14.94	11.09	13.37	11.72	14.56	12.78	0.17	0.0347849936638201	0.0686578169163202	0.1977627016608
"ACVR1B"	11.15	11.37	14.42	12.47	14.59	14.5	18.81	15.92	12.35	15.95	-0.34	0.00313951536657884	0.0159717658964916	-0.610860001770321
"ACVR1C"	0.21	0.23	0.09	0.12	0.17	0.05	0.02	0.09	0.16	0.08	0.1	0.0682675420785974	0.108123950963453	0.096607809310395
"ACVR2A"	9.21	12.01	11.97	14.93	10.1	19.56	18.71	20.9	12.03	17.32	-0.49	0.00720409334277882	0.0271611696940784	-0.767365250250778
"ACVR2B"	1.9	1.95	2.49	2.31	1.94	1.86	2.15	2.35	2.16	2.08	0.04	0.0310410479280401	0.0641715535086487	0.0477062978754042
"ACVRL1"	0.27	0.46	0.48	0.31	0.43	0.29	0.36	0.43	0.38	0.38	0	0.190374731018856	0.238190972803651	0
"ACY1"	14.55	18.65	13.09	20.33	24.78	31.88	25.46	27.29	16.65	27.35	-0.68	0.00142241936345744	0.00950245961554766	-1.37507149785018
"ACY3"	0.27	0.1	0.49	0.06	0.13	0.14	0.87	1.32	0.23	0.61	-0.39	0.287117467208385	0.334949982757086	-0.185257815689683
"ACYP1"	20.38	31.28	43.73	31.61	17.96	25.72	31.36	22.22	31.75	24.31	0.37	0.10283142030123	0.146824963899712	0.308284035988516
"ACYP2"	15.53	17.8	15.16	19.4	18.14	20.34	19.2	20.18	16.97	19.47	-0.19	0.0339279179276646	0.0677014425996857	-0.222186394660051
"ADA"	14.64	14.12	10.03	13.94	14.79	6.45	5.1	5.6	13.18	7.98	0.66	0.0118760658881658	0.0366790015049097	0.947484446986532
"ADA2"	31.41	3.84	9.17	13.48	29.52	2.62	12.17	16.05	14.47	15.09	-0.06	1	1	0
"ADAD1"	0	0	0	0	0	0	0	0	0	0	0	1	1	0
"ADAD2"	0.28	0.74	0.33	0.79	0.5	0.37	0.46	1.06	0.54	0.6	-0.06	0.334375267022023	0.381501009338657	-0.0251102585215821
"ADAL"	4.96	5.32	6.36	6.91	3.76	2.14	4.21	2.67	5.89	3.2	0.71	0.00158949171971634	0.0101957400599115	1.4140226842244
"ADAM10"	308.52	381.8	387.14	356.04	325.28	393.74	422.66	400.9	358.38	385.65	-0.11	0.0231439900590429	0.0539582081039805	-0.139473672935201
"ADAM11"	0.2	0.21	0.26	0.21	0.11	0.09	0.17	0.15	0.22	0.13	0.11	0.0525294773974133	0.0896481279150268	0.115220465272011
"ADAM12"	0.12	0.21	0.11	0.12	0.37	0.2	0.34	0.28	0.14	0.3	-0.18	0.00417967743228506	0.0194059964547212	-0.308171529413368
"ADAM15"	86.91	109.34	81.32	90.95	68.75	83.24	80.25	68.58	92.13	75.2	0.29	0.026466623158255	0.0582627406465226	0.35803663617537
"ADAM17"	28.54	37.5	35.61	36.43	28.92	28.26	25.56	25.32	34.52	27.01	0.34	0.0058052775311767	0.0238651331008217	0.551560287307646
"ADAM18"	0	0	0	0.18	0	0	0	0	0.05	0	0.06	1	1	0
"ADAM19"	21.37	19.57	5.4	7.5	29.85	7.49	4.6	7.16	13.46	12.28	0.12	0.903192589643961	0.956193294890991	0.00233451672364447
"ADAM2"	0.24	0.11	0.58	2.02	0	0.02	0.02	0.04	0.74	0.02	0.77	1	1	0
"ADAM20"	0.17	0.07	0.18	0	0.12	0.1	0.06	0.06	0.11	0.09	0.02	1	1	0
"ADAM21"	0.45	0.17	0.28	0.27	0.37	0.08	0.19	0.12	0.29	0.19	0.12	0.136655973867535	0.182385120347727	0.0886812715093799
"ADAM22"	1.34	1.4	2.43	2.01	1.9	2.08	1.5	1.71	1.8	1.8	0	0.197324646661522	0.245446920825686	0
"ADAM23"	0.27	1.03	0	0.74	1.58	1.07	0.02	0.69	0.51	0.84	-0.28	1	1	0
"ADAM28"	27.7	32.46	27.77	15.84	55.08	40.9	44.69	30.26	25.94	42.73	-0.7	0.000591637394257439	0.00546494318651137	-1.58369004402799
"ADAM29"	0.04	0.01	0	0	0	0	0	0	0.01	0	0.02	1	1	0
"ADAM30"	0	0	0	0	0	0	0.01	0	0	0	-0.01	1	1	0
"ADAM32"	1.54	0.35	1.93	0.64	1.17	1.91	0.77	0.86	1.12	1.18	-0.04	1	1	0
"ADAM33"	0.08	0.11	0.24	0.1	0.13	0.17	0.31	0.31	0.13	0.23	-0.12	0.0585966453127374	0.09680864917916	-0.121690300772194
"ADAM7"	0	0	0	0	0.06	0.01	0	0	0	0.02	-0.03	1	1	0
"ADAM8"	18.96	20.34	18.66	19.73	22.72	10.8	7.49	10.06	19.42	12.77	0.57	0.0252386795903898	0.0567142770126539	0.710395331934242
"ADAM9"	406.81	486.77	425.85	422.83	375.7	415.36	365.29	301.23	435.57	364.39	0.26	0.00867772519966103	0.0303854270094873	0.394507010583239
"ADAMDEC1"	0.02	0.04	0	0.02	0	0	0.02	0	0.02	0.01	0.02	1	1	0
"ADAMTS1"	9.36	4.74	5.13	3.66	8.99	1	0.93	0.87	5.72	2.95	0.77	0.00989973808356054	0.0329282059391249	1.14147258667804
"ADAMTS10"	0.18	0.12	0.1	0.08	0.32	0.09	0.17	0.08	0.12	0.16	-0.06	0.237252635241908	0.285245247519327	-0.0326868949586674
"ADAMTS12"	0	0.01	0	0	0.01	0	0	0	0	0	0	1	1	0
"ADAMTS13"	7.55	5.82	6.95	5.75	4.7	5.42	7.47	5.07	6.52	5.66	0.17	0.131814920548237	0.177516286081038	0.127629505456394
"ADAMTS14"	0.26	0.3	0.03	0.15	0.09	0.07	0.01	0.04	0.18	0.05	0.17	0.054614677497251	0.0920409201421591	0.176123238210475
"ADAMTS15"	0.96	0.45	0.7	0.35	3.45	2.6	3.42	4.35	0.62	3.46	-1.46	1.8292823527425e-05	0.00108560342933809	-4.32792003842699
"ADAMTS16"	0.53	0.53	0.63	0.37	0.43	0.43	0.39	0.38	0.51	0.41	0.11	0.0906322670338848	0.133537517957523	0.0961836370215667
"ADAMTS17"	0.25	0.09	0.24	0.14	0.1	0.11	0.01	0.02	0.18	0.06	0.15	0.0246375635511856	0.0559528878173544	0.187826624089442
"ADAMTS18"	0.03	0.03	0.01	0.01	0.01	0	0.02	0	0.02	0.01	0.02	1	1	0
"ADAMTS19"	0.06	0.14	0.2	0.13	0.58	0.06	0.03	0.36	0.13	0.26	-0.16	1	1	0
"ADAMTS2"	0.22	0.1	0.17	0.17	0.23	0.17	0.22	0.22	0.17	0.21	-0.05	0.182995520133091	0.23053050381498	-0.0318635800295475
"ADAMTS20"	0	0	0.01	0	0	0	0	0	0	0	0	1	1	0
"ADAMTS3"	0.01	0.02	0	0.01	0.01	0.02	0.01	0.01	0.01	0.01	-0.01	1	1	0
"ADAMTS4"	0.21	0.19	0.27	0.2	0.21	0.18	0.26	0.32	0.22	0.24	-0.03	0.113109561930922	0.158153015468692	-0.0240276756921642
"ADAMTS5"	0.15	0.09	0.02	0.06	0.4	0.25	0.15	0.11	0.08	0.23	-0.18	0.00481624717799655	0.0211957842073748	-0.301275091917618
"ADAMTS6"	0.91	0.7	0.31	0.36	1.04	0.48	0.47	0.27	0.57	0.57	0	0.17011165481371	0.21756320042852	0
"ADAMTS7"	5.88	5.52	4.99	7.43	6.2	4.18	3.4	3.8	5.96	4.4	0.37	0.0537545004638249	0.0910578972338169	0.385052481677853
"ADAMTS8"	0.02	0.05	0.01	0.09	0.02	0.04	0.02	0.03	0.04	0.03	0.02	1	1	0
"ADAMTS9"	0.59	0.58	1.96	0.49	1.29	1.62	0.43	0.98	0.9	1.08	-0.13	1	1	0
"ADAMTSL1"	0	0	0.09	0	0.03	0	0.1	0.13	0.02	0.07	-0.06	1	1	0
"ADAMTSL2"	0.04	0.1	0.02	0.05	0.03	0.08	0.08	0.12	0.05	0.08	-0.03	0.265915471472584	0.314272788250821	-0.0150807966405001
"ADAMTSL3"	0.01	0	0.01	0	0.02	0	0	0	0.01	0.01	0	1	1	0
"ADAMTSL4"	2.37	5.02	1.84	2.79	2.22	2.19	1.89	2.3	3	2.15	0.35	0.284791471737804	0.332917518724302	0.167182172807247
"ADAMTSL5"	3.34	2.29	1.46	3.19	3	3.65	3.55	3.39	2.57	3.4	-0.3	0.10038823626101	0.144167230542073	-0.252340033283166
"ADAP1"	11.69	11.6	13.28	14.04	18.61	28.02	27.68	26.8	12.65	25.28	-0.94	6.88912877441469e-06	0.000837060850624728	-2.89260839139535
"ADAP2"	0.55	0.67	0.44	0.73	0.79	0.31	0.58	0.57	0.59	0.56	0.03	0.223917592063686	0.27175852297358	0.0169745047965673
"ADAR"	99.7	99.36	88.89	96.1	127.23	115.16	113.38	122.84	96.01	119.65	-0.31	0.00291888664352557	0.0152322461337833	-0.563343175888973
"ADARB1"	2.11	1.83	2.56	3.9	2.23	3.64	4.16	5.82	2.6	3.96	-0.46	0.00238724460572848	0.0133398383525769	-0.862430739186377
"ADARB2"	0.08	0.15	0.33	0.38	0.13	0.64	1.98	2.06	0.24	1.2	-0.83	0.000647367241225066	0.00575524214882385	-1.85914721111608
"ADAT1"	14.85	17.36	13.78	12.92	23.65	17.62	19.82	20.97	14.73	20.51	-0.45	0.0154922153404486	0.042818962360201	-0.615763737563494
"ADAT2"	1.35	1.55	1.87	1.9	1.74	1.91	2.34	1.53	1.67	1.88	-0.11	0.069259842675868	0.109268026832026	-0.105765758930249
"ADAT3"	4.98	2.95	4.26	4.27	4.94	6.55	5.12	4.64	4.12	5.31	-0.3	0.0472470226691582	0.0835412015583042	-0.323429784793611
"ADCK1"	6.91	8.28	6.64	9.21	7.2	8.07	7.37	8.14	7.76	7.69	0.01	0.0841904875453812	0.12611795752433	0.00899223071250296
"ADCK2"	18.45	20.64	19.35	21.9	20.55	24.03	24.25	24	20.08	23.21	-0.2	0.0120354832527177	0.0370076749873403	-0.286341639732593
"ADCK5"	4.55	5.14	7.2	9.51	5.16	9.25	9.79	11.48	6.6	8.92	-0.38	0.0103739476919697	0.0338353591457506	-0.558839099546548
"ADCY1"	0.19	0.25	0.21	0.09	0.2	0.99	0.06	0.52	0.18	0.44	-0.28	0.612843435631665	0.661855816848975	-0.0501862507737154
"ADCY10"	0.45	0.15	0.17	0.11	0.04	0.06	0.1	0.19	0.22	0.1	0.15	1	1	0
"ADCY2"	0.07	0.04	0.05	0.03	0.06	0.04	0.04	0.02	0.05	0.04	0.01	0.180174722404362	0.227784457762891	0.00642475912118588
"ADCY3"	6.61	11.77	9.39	15.72	5.29	8.15	8.01	5.55	10.87	6.75	0.61	0.023609402775678	0.0546945355405777	0.769854197388227
"ADCY4"	1.6	1.29	2.31	2.35	0.81	0.51	0.37	0.31	1.89	0.5	0.94	0.000224990398404182	0.00308575015569802	2.36000088599731
"ADCY5"	0.12	0.16	0.32	0.16	0.15	0.1	0.16	0.17	0.19	0.14	0.06	0.166990841017216	0.214335914814031	0.0401343030649695
"ADCY6"	35.37	55.99	44.43	50.48	48.47	64.56	67.98	61.13	46.57	60.54	-0.37	0.015421471874837	0.0427216012661396	-0.506660416749733
"ADCY7"	15.94	15.86	11.92	10.92	20.53	5.43	4.28	3.67	13.66	8.48	0.63	0.0129997066373352	0.0387426171411143	0.889440958455147
"ADCY8"	0	0	0	0	0.02	0	0	0	0	0.01	-0.01	1	1	0
"ADCY9"	12.18	9.99	16.86	14.49	11.68	16.24	21.79	16.03	13.38	16.43	-0.28	0.0580411514642455	0.0961727319213372	-0.284745453169743
"ADCYAP1"	0.02	0	0	0.03	0.03	0.01	0.03	0.04	0.01	0.03	-0.02	1	1	0
"ADCYAP1R1"	0.01	0.02	0	0.05	0.01	0.01	0.04	0	0.02	0.02	0	1	1	0
"ADD1"	96.55	89.87	84.69	95.51	107.43	108.46	112.06	110.59	91.65	109.63	-0.26	0.0038295690505973	0.0183026270156612	-0.451746508347892
"ADD2"	0.06	0.06	0.11	0.1	0.04	0.11	0.08	0.07	0.08	0.07	0.01	0.194683944898248	0.242563595435181	0.00615174378605402
"ADD3"	52.38	46.77	47.6	50.44	56.08	52.43	64.38	68.04	49.3	60.23	-0.28	0.00622651103644596	0.0249281240886234	-0.448926912601037
"ADGB"	0.88	0.82	1.17	0.87	1.1	1.58	1.25	1.43	0.94	1.34	-0.27	0.0296259158624373	0.0623400037062696	-0.325412957584606
"ADGRA1"	0.05	0.11	0.17	0.2	0	0.12	0.28	0.13	0.13	0.13	0	0.498826533139024	0.547104540549756	0
"ADGRA2"	0.6	0.25	0.28	0.28	0.78	0.19	0.54	0.31	0.36	0.46	-0.1	1	1	0
"ADGRA3"	11.08	10.22	12.41	11.06	11.71	11.25	10.41	9.92	11.19	10.82	0.04	0.0390998981451688	0.0739110276756837	0.0452516303660222
"ADGRB1"	0.38	0.62	0.27	0.35	0.56	0.23	0.06	0.08	0.4	0.23	0.18	0.037853440490735	0.0726024073715931	0.205028816147872
"ADGRB2"	3.06	1.88	2.04	2.59	2.95	0.79	0.58	0.51	2.39	1.21	0.62	0.00929215119320378	0.0317095281192263	0.929262336905659
"ADGRB3"	0.04	0.08	0	0.03	0.43	0.03	0	0	0.04	0.11	-0.1	1	1	0
"ADGRD1"	0.01	0.01	0	0.02	0	0.07	0	0.04	0.01	0.03	-0.03	1	1	0
"ADGRD2"	0.18	0.04	0.25	0	0.56	0.01	0.12	0.14	0.12	0.21	-0.11	1	1	0
"ADGRE1"	0	0	0	0	0	0	0	0	0	0	0	1	1	0
"ADGRE2"	22.43	12.53	14.15	14.33	18.03	8	7.19	9.82	15.86	10.76	0.52	0.0453322415938749	0.0811722737977438	0.567107989970819
"ADGRE3"	0	0	0	0	0	0	0	0.04	0	0.01	-0.01	1	1	0
"ADGRE5"	11.19	11.48	12.14	19.47	12.81	14.55	10.37	12.42	13.57	12.54	0.11	1	1	0
"ADGRF1"	101.42	134.81	136.49	124.62	151.64	240.97	353.51	294.94	124.33	260.26	-1.06	0.000216488785526098	0.00302700794359166	-2.67012562571048
"ADGRF3"	0.44	1.11	0.47	0.42	1.36	3.21	3.38	3.86	0.61	2.95	-1.3	0.00036337862614735	0.00407407314798442	-3.10696253103797
"ADGRF4"	18.95	18.48	20.7	19.67	9.01	18.15	24.51	21.14	19.45	18.2	0.09	0.583570872875668	0.632752922536939	0.0178889256234901
"ADGRF5"	0.04	0.05	0.05	0.17	0.12	0.1	0.21	0.44	0.08	0.22	-0.18	0.00262748744568367	0.0142094953126284	-0.332535842442438
"ADGRG1"	56.31	56.87	56.05	49.88	77.35	84.12	80.61	84.79	54.78	81.71	-0.57	0.000124024779072334	0.00231091563159675	-1.5026430685492
"ADGRG2"	0.26	0.16	0.15	0.23	0.15	0.19	0.24	0.42	0.2	0.25	-0.06	0.210192007673527	0.258357940756389	-0.0352666911397215
"ADGRG3"	0	0	0.14	0.03	0	0.02	0.13	0	0.04	0.04	0.01	1	1	0
"ADGRG4"	0.01	0	0.01	0	0	0	0.02	0	0.01	0.01	0	1	1	0
"ADGRG5"	0.02	0.04	0.06	0	0.07	0	0	0	0.03	0.02	0.02	1	1	0
"ADGRG6"	53.18	46.99	42.93	39.41	85.01	111.92	123.84	86.86	45.63	101.91	-1.14	1.02777723188945e-05	0.000907536297570351	-3.46803503546587
"ADGRG7"	0.05	0	0.02	0.02	0	0.08	0.02	0.05	0.02	0.04	-0.02	1	1	0
"ADGRL1"	8.06	8.09	8.79	11.02	9.57	11.6	13.23	8.76	8.99	10.79	-0.24	0.0540683969881712	0.091361011351103	-0.249417384361056
"ADGRL2"	3	1.99	1.27	0.82	3.81	1.43	1.1	0.76	1.77	1.78	0	0.119309954790567	0.164620832647836	0
"ADGRL3"	0.04	0.05	0.01	0.2	0.04	0.06	0.03	0.13	0.08	0.06	0.02	1	1	0
"ADGRL4"	1.06	3.07	2.96	3	1.34	2.11	2.8	1.79	2.52	2.01	0.23	0.290736734764321	0.338488833615279	0.108204800340225
"ADGRV1"	5.65	3.37	5.86	12.83	3.46	2.48	3.4	4.51	6.93	3.46	0.83	0.0217732186955885	0.0520554424094209	1.06533310229259
"ADH1A"	0.19	0.16	0	0.41	0.46	0.61	0.68	0.37	0.19	0.53	-0.36	0.0592125833184134	0.0975200667985889	-0.363926163567486
"ADH1B"	0.03	0.02	0.07	0.05	0.04	0.07	0.12	0.13	0.04	0.09	-0.06	0.0927921192308907	0.135960907268562	-0.0519951567616602
"ADH1C"	0.06	0	0.12	0.07	0.09	0.29	0.14	0.28	0.06	0.2	-0.18	1	1	0
"ADH4"	0.45	0.39	0.6	0.64	0.63	0.72	1.04	0.57	0.52	0.74	-0.2	0.0899440446881174	0.132771338081786	-0.175379133572508
"ADH5"	85.96	81.68	77.53	91.8	104.57	63.8	66.49	80.49	84.24	78.84	0.09	0.721335077816342	0.770902141927342	0.0101700672888306
"ADH6"	0.25	0.47	0.58	0.46	0.7	0.74	0.93	0.31	0.44	0.67	-0.21	0.166314067281924	0.213640968843067	-0.140766246854316
"ADH7"	0	0	0	0	0	0	0	0	0	0	0	1	1	0
"ADHFE1"	2.3	2.68	4.16	3.21	3.81	12.81	18.09	12.13	3.09	11.71	-1.64	0.000587022236280839	0.00543503403045708	-3.71426828099637
"ADI1"	44.57	59.79	49.45	61.52	54.85	105.36	77.75	91.98	53.83	82.49	-0.61	0.00995200477394295	0.0330602582831362	-0.903223192274718
"ADIG"	0	0	0	0	0	0	0	0	0	0	0	1	1	0
"ADIPOQ"	0.13	0.09	0.07	0.06	0.05	0.11	0.1	0.13	0.08	0.1	-0.02	0.289210845750504	0.337010586182731	-0.00944712913696284
"ADIPOR1"	144.48	151.61	157.54	148.05	117.03	119.66	109.68	105.34	150.42	112.93	0.41	0.000248182171421259	0.00324053247151034	1.02064728517336
"ADIPOR2"	46.3	45.43	46.75	49.22	36.15	38.87	37.99	37.15	46.93	37.54	0.31	0.00120977541405536	0.00861412480210998	0.64008454053504
"ADIRF"	569.27	918.71	1088.24	1564.9	1380.54	4323.28	3503.53	4213.1	1035.28	3355.11	-1.7	7.74505985606713e-05	0.00185042517384192	-4.64563840223122
"ADISSP"	10.26	12.41	12.13	16.96	9.8	17.56	15.57	14.06	12.94	14.25	-0.13	0.323158887419071	0.37082112355873	-0.0560086194914906
"ADK"	60.28	56.45	53.01	52.03	62.34	55.88	59.05	54.76	55.44	58.01	-0.06	0.015509401930677	0.042818962360201	-0.0821018316751325
"ADM"	232.9	248.54	212.41	271.33	122.64	50.52	31.65	45.37	241.3	62.55	1.93	0.000165944643521597	0.0026698482220087	4.96688091431549
"ADM2"	5.22	4.61	2.38	3.51	4.5	2.06	1.34	1.62	3.93	2.38	0.55	0.0170350057145317	0.0450922708890844	0.740243840965723
"ADM5"	0.98	0.38	0.71	0.96	0.28	0.98	0.48	0.37	0.76	0.53	0.2	0.20642972184227	0.254625690654951	0.118819555999159
"ADNP"	42.36	34.09	38.3	41.57	38.83	37.74	45.57	47.18	39.08	42.33	-0.11	0.0361603496574944	0.070361738212133	-0.126792978432713
"ADNP2"	25.52	25.18	36.91	16.72	24.52	13.63	16.21	12.97	26.08	16.83	0.6	0.02195850204936	0.0523037980324267	0.768880064255516
"ADO"	11.1	11.78	11.89	11.66	10.79	13.11	13.78	12.68	11.61	12.59	-0.11	0.0188267603153601	0.0477121910962072	-0.145350770267271
"ADORA1"	0.63	0.32	0.48	0.08	1.37	0.11	2.04	0.22	0.38	0.94	-0.49	0.568742674199473	0.617565817506733	-0.102565207678884
"ADORA2A"	4.05	1.82	3.66	2.52	1.59	1.63	2.33	2.06	3.01	1.9	0.47	0.0697063168134309	0.109731144517034	0.451044942770618
"ADORA2B"	7.38	6.7	6.51	7.56	7.15	3.49	3.46	2.64	7.04	4.18	0.63	0.00369398340551041	0.0178742174408556	1.10109696678607
"ADORA3"	0	0	0	0	0	0	0	0	0	0	0	1	1	0
"ADPGK"	25.25	29.17	29.26	29.07	27.71	31.73	32	33.81	28.19	31.31	-0.15	0.0154722917421298	0.042790048605687	-0.205298583029386
"ADPRH"	2.03	2.55	0.84	1.31	3.42	2.91	2.27	3.87	1.68	3.12	-0.62	0.0196076354147626	0.0487678941615018	-0.813356918265782
"ADPRHL1"	2.25	3.4	3.81	2.81	1.2	2.23	6.96	3.07	3.07	3.37	-0.1	1	1	0
"ADPRM"	6.21	6.48	11.57	9.5	5.91	6.28	7.87	6.66	8.44	6.68	0.3	0.0444166572166772	0.0801235688289871	0.328871914437787
"ADPRS"	35.51	35.97	33.41	40.28	35.24	33.4	29.75	34.82	36.29	33.3	0.12	0.0611514021514182	0.0997866481664553	0.120111307809708
